Player,height,weight,college,born,birth_city,birth_state,Geo_code,Latitude,Longitude
Bob Harris,201,88,Oklahoma State University,1927,Linden,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Bill Henry,206,97,Rice University,1924,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Kleggie Hermsen,206,102,University of Minnesota,1923,Hill City,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Red Holzman*,178,79,City College of New York,1920,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Gene James,193,81,Marshall University,1925,Ironton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Tony Jaros,190,83,University of Minnesota,1920,Minneapolis,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Bob Kinney,198,97,Rice University,1920,Fort Scott,Kansas,"39.011902, -98.4842465",39.011902,-98.4842465
Lee Knorek,201,97,University of Detroit Mercy,1921,Warsaw,Poland,"51.919438, 19.145136",51.919438,19.145136
Tony Lavelli,190,83,Yale University,1926,Somerville,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
George Mikan*,208,111,DePaul University,1924,Joliet,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Joe Mullaney,183,74,College of the Holy Cross,1925,Long Island,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Jim Nolan,203,95,Georgia Institute of Technology,1927,Macon,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Easy Parham,190,90,Texas Wesleyan University,1921,Fort Worth,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Jack Phelan,196,88,DePaul University,1925,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Don Ray,196,86,Western Kentucky University,1921,Mt. Juliet,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Arnie Risen*,206,90,Ohio State University,1924,Williamstown,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Red Rocha,206,83,Oregon State University,1923,Hilo,Hawaii,"19.8967662, -155.5827818",19.8967662,-155.5827818
Ed Sadowski,196,108,Seton Hall University,1917,Johnstown,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Dolph Schayes*,203,99,New York University,1928,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Rollie Seltz,178,74,Hamline University,1924,McIntosh,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Paul Seymour,185,81,University of Toledo,1928,Toledo,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Belus Smawley,185,88,Appalachian State University,1918,Golden Valley,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Jack Smiley,190,86,University of Illinois at Urbana-Champaign,1922,Sandwich,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Blackie Towery,193,95,Western Kentucky University,1920,Caldwell,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Dick Triptow,183,77,DePaul University,1922,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Paul Walther,188,72,University of Tennessee,1927,Covington,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Bobby Wanzer*,183,77,Seton Hall University,1921,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Paul Arizin*,193,86,Villanova University,1928,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Gerry Calabrese,185,79,St. John's University,1925,Hoboken,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Nat Clifton*,198,99,Xavier University of Louisiana,1922,Little Rock,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Don Rehfeldt,201,95,University of Wisconsin,1927,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Dick Schnittker,196,90,Ohio State University,1928,Kelleys Island,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
George King,183,79,University of Charleston,1928,Charleston,West Virginia,"38.5976262, -80.4549026",38.5976262,-80.4549026
John Pilch,190,83,University of Wyoming,1925,Sheridan,Wyoming,"43.0759678, -107.2902839",43.0759678,-107.2902839
Sam Ranzino,185,83,North Carolina State University,1927,Gary,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Jim Baechtold,193,92,Eastern Kentucky University,1927,McKeesport,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Dick Bunt,183,77,New York University,1930,Queens,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Gene Conley,203,102,Washington State University,1930,Muskogee,Oklahoma,"35.4675602, -97.5164276",35.4675602,-97.5164276
Monk Meineke,201,94,University of Dayton,1930,Dayton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Bill Mlkvy,193,86,Temple University,1931,Palmerton,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Don Asmonga,188,83,Alliance College,1928,West Mifflin,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Ernie Barrett,190,81,Kansas State University,1929,Pratt,Kansas,"39.011902, -98.4842465",39.011902,-98.4842465
Jack George,188,86,La Salle University,1928,Swissvale,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Norm Grekin,196,81,La Salle University,1930,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Jack Molinas,198,90,Columbia University,1931,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Bob Peterson,196,95,University of Oregon,1932,San Mateo,California,"36.778261, -119.4179324",36.778261,-119.4179324
Chuck Grigsby,196,86,University of Dayton,1928,Dayton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Jackie Moore,196,81,La Salle University,1932,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Frank Selvy,190,81,Furman University,1932,Corbin,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Gene Shue,188,77,University of Maryland,1931,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Bobby Watson,183,72,University of Kentucky,1930,Central City,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Med Park,188,92,University of Missouri,1933,Britton,South Dakota,"43.9695148, -99.9018131",43.9695148,-99.9018131
Maurice Stokes*,201,105,Saint Francis University,1933,Pittsburgh,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Jack Twyman*,198,95,University of Cincinnati,1934,Pittsburgh,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Bob Burrow,201,103,University of Kentucky,1934,Malvern,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Richie Guerin*,193,88,Iona College,1932,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Bob Hopkins,203,92,Grambling State University,1934,Jonesboro,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Lou Tsioropoulos,196,86,University of Kentucky,1930,Lynn,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Jim Krebs,203,104,Southern Methodist University,1935,Webster Groves,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Woody Sauldsberry,201,99,Texas Southern University,1934,Winnsboro,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Guy Sparrow,198,98,University of Detroit Mercy,1932,Pontiac,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
